area;id_projeto;nome_projeto;fase
44612.9;15257;VANETE ALMEIDA;construction
29992;15615;GRAND RESERVA;construction
32144.43;22099;RESERVA GOLDEN;construction
7504.95;25015;STELLA MARIS;construction
5138.2;25017;BOX STUDIO;construction
36689.57;25018;RESERVA DOS PÁSSAROS;construction
1575.90;25640;MERCADO PÚBLICO - BENEDITO BENTES;construction
13620.84;25641;LINK OFFICE;construction
18846.10;25644;GRAND PLATINUM;construction
28149.3;28377;RESERVA DO BOSQUE;construction
6658.86;28378;SITGES;construction
22109.6;29362;GRAND PALAZZO;construction
9530.8;29363;ED. DOM ANTÔNIO;construction
50560;31712;MANOEL ALVES DE FRANÇA;construction
22342.82;31713;ROSA DA FONSECA;construction
55.08390;31849;RESERVA DO PRATA;construction
;33288;RESIDENCIAL RENASCER;construction
21279.24;35103;GRAND PALADIUM;construction
12701.04;35125;IVAN TIMÓTEO;construction
23.15652;35482;RESIDENCIAL MORADA DO TAQUARI;construction
;35681;RESIDENCIAL NOVO CRUZEIRO I e II;construction
93186.90;37564;RESERVA ALDEPRIME;construction
11.21315;39085;GRAND VIA;construction
;39142;GRAND SPLENDIDO;pre_execution
